0.00,0.00
0.19,0.18
0.61,0.57
0.73,0.68
0.93,0.85
0.90,0.82
1.03,0.94
0.95,0.88
1.06,0.97
0.98,0.89
1.08,0.99
0.99,0.90
1.10,0.99
0.99,0.93
1.10,1.02
0.99,0.92
1.11,1.02
0.99,0.93
1.10,1.03
1.11,1.03
1.08,1.02
0.98,0.93
1.10,1.02
1.01,0.93
1.11,1.03
1.01,0.93
1.11,1.04
1.02,0.94
1.12,1.03
1.01,0.94
1.11,1.03
1.02,0.95
1.11,1.04
1.11,1.04
1.08,1.02
0.98,0.93
1.10,1.03
0.99,0.93
1.10,1.04
0.99,0.94
1.11,1.02
0.99,0.94
1.10,1.03
1.02,0.97
1.12,1.06
1.02,0.95
1.11,1.03
1.01,0.94
1.11,1.04
1.11,1.06
1.10,1.02
0.99,0.94
1.08,1.02
1.01,0.93
1.11,1.04
1.02,0.97
1.12,1.06
1.01,0.95
1.11,1.04
1.02,0.95
1.12,1.06
1.01,0.95
1.11,1.03
1.11,1.04
1.08,1.01
0.99,0.92
1.10,1.02
1.02,0.94
1.10,1.03
1.01,0.95
1.11,1.03
1.03,0.95
1.12,1.04
1.03,0.97
1.11,1.04
1.02,0.95
1.12,1.03
1.03,0.97
1.12,1.04
1.11,1.04
1.12,1.06
1.02,0.95
1.13,1.06
1.01,0.93
1.12,1.04
1.01,0.95
1.11,1.04
1.01,0.94
1.11,1.03
1.02,0.95
1.11,1.04
1.01,0.94
1.11,1.06
1.10,1.03
1.10,1.02
0.99,0.92
1.10,1.03
1.01,0.94
1.11,1.03
1.03,0.97
1.11,1.03
1.02,0.94
1.11,1.04
1.01,0.95
1.11,1.04
1.01,0.94
1.11,1.04
1.01,0.94
1.11,1.04
1.12,1.06
1.10,1.03
1.02,0.95
1.12,1.06
1.02,0.94
1.12,1.06
1.02,0.97
1.12,1.06
1.02,0.95
1.12,1.04
1.02,0.94
1.12,1.04
1.03,0.95
1.12,1.04
1.12,1.04
1.10,1.01
0.99,0.92   
1.11,1.02
1.01,0.93
1.12,1.04
1.01,0.95
1.12,1.06
1.02,0.94
1.12,1.04
1.03,0.95
1.15,1.06
1.02,0.94
1.12,1.04
1.03,0.95
1.12,1.04
1.13,1.04
1.10,1.02
