0.00,0.00
0.12,0.09
0.21,0.19
0.27,0.23
0.30,0.28
0.39,0.35
0.37,0.36
0.43,0.41
0.40,0.37
0.46,0.44
0.41,0.40
0.46,0.44
0.43,0.41
0.48,0.46
0.48,0.46
0.49,0.46
0.45,0.44
0.49,0.46
0.45,0.43
0.49,0.48
0.45,0.43
0.49,0.45
0.45,0.41
0.46,0.46
0.41,0.43
0.45,0.45
0.41,0.41
0.46,0.45
0.46,0.46
0.49,0.46
0.45,0.44
0.52,0.48
0.46,0.44
0.50,0.49
0.45,0.45
0.52,0.49
0.48,0.45
0.50,0.49
0.46,0.45
0.52,0.50
0.46,0.44
0.52,0.49
0.46,0.45
0.53,0.50
0.54,0.50
0.53,0.50
0.48,0.45
0.52,0.50
0.46,0.45
0.52,0.48
0.46,0.44
0.50,0.49
0.46,0.45
0.50,0.49
0.45,0.45
0.52,0.50
0.46,0.45
0.53,0.49
0.53,0.50
0.52,0.49
0.48,0.45
0.53,0.49
0.48,0.45
0.53,0.50
0.49,0.45
0.54,0.50
0.49,0.45
0.53,0.50
0.48,0.46
0.54,0.50
0.49,0.46
0.53,0.50
0.49,0.45
0.53,0.52
0.53,0.52
0.53,0.50
0.49,0.46
0.54,0.49
0.48,0.45
0.54,0.49
0.49,0.45
0.53,0.50
0.48,0.45
0.54,0.50
0.49,0.46
0.53,0.50
0.49,0.45
0.53,0.50
0.54,0.49
0.53,0.50
0.49,0.45
0.54,0.50
0.49,0.45
0.54,0.50
0.49,0.45
0.54,0.52
0.49,0.46
0.53,0.50
0.49,0.44
0.55,0.49
0.49,0.45
0.54,0.50
0.49,0.46
0.55,0.52
0.55,0.52
0.54,0.50
0.50,0.46
0.54,0.50
0.49,0.45
0.53,0.50
0.48,0.45
0.54,0.50
0.48,0.46
0.53,0.50
0.49,0.46
0.54,0.50
0.49,0.45
0.54,0.50
0.54,0.50
0.53,0.52
0.49,0.48
0.53,0.52
0.49,0.48
0.54,0.52
0.49,0.44
0.55,0.48
0.49,0.45
0.54,0.50
0.50,0.45
0.54,0.50
0.50,0.46
0.54,0.50
0.49,0.46
0.54,0.50
0.54,0.50
0.55,0.50
0.49,0.46
0.55,0.50
0.50,0.45
0.55,0.49
0.50,0.45
